Affischtavla	Billboard
beprövad	tested
bereda	prepare
beredd	prepared
beredning	commission
beredskap	readiness
beredvillig	ready
beredvillighet	readiness
berest	widely-travelled
berg	rock
bergformation	mountain
bergig	mountainous
bergis	certain
bergochdalbana	rollercoaster
bergshöjd	hill
bergskreva	canyon
bergsluttning	hillside
bergsområden	moutainchains
bergvägg	cliff
berika	enrich
beriktiga	correct
beriktigande	rectification
berlinare	Berliner
berlock	charm
bero	depend
beroende	dependence
berså	bower
berusad	intoxicated
berusning	intoxication
beryktad	disreputable
beräkna	calculate
beräknad	estimated
beräknande	calculating
beräkning	calculation
beräkningsbara	calculable
beräkningsbart	computable
berätta	relate
berättare	writer
berättarröst	narrator
berättelse	tale
berättiga	authorize
berättigad	justified
berättigande	authorization
beröm	commendation
berömd	famed
berömdhet	celebrity
berömma	commend
berömmelse	fame
beröra	touch
berörd	touched
beröring	touch
beröva	strip
berövad	bereft
besatt	occupied
besegla	seal
besegra	conquer
besiktiga	inspect
besiktning	inspection
besitta	possess
besittning	colony
besjäla	inspire
besk	bitter
beska	bitterness
beskaffad	constituted
beskaffenhet	nature
beskattning	taxation
besked	answer
beskedlig	mild
beskickning	embassy
beskriva	describe
beskrivbar	describable
beskriven	described
beskrivning	description
beskydd	protection
beskydda	shield
beskyddare	protector
beskylla	accuse
beskäftig	officious
beskära	vouchsafe
beskåda	view
beskådande	inspection
beslag	confiscation
beslagta	confiscate
beslagtagandet	confiscation
beslagtagen	confiscated
beslut	decision
besluten	resolved
beslutsam	determined
beslutsamt	decisively
beslutsfattande	decision-making
beslutsförfarande	decisiontaking
besläktad	related
beslå	convict
beslöjad	obscured
beslöt	resolved
bespara	spare
besparad	spared
besparing	economy
besparingar	savings
bespotta	mock
bespruta	spray
besserwissrar	know-it-alls
best	brute
bestialisk	bestial
bestick	cutlery
bestickande	plausible
bestickning	bribery
bestiga	cover
bestod	contained
bestraffa	punish
bestraffning	penalty
bestrida	deny
bestryka	smear
bestråla	irradiate
bestrålats	radiated
bestrålning	radiation
beströ	sprinkle
bestseller	best-seller
bestulen	robbed
bestyckad	armed
bestyckning	armament
bestyr	business
bestyra	manage
bestyrka	corroborate
beställa	book
beställningsvideo	video-on-demand
bestämbar	defineable
bestämd	fixed
bestämdhet	determination
bestämma	determine
bestämmelse	mission
bestämt	decidedly
beständig	constant
beständighet	sufficent
bestå	endure
bestående	existing
beståndsdel	element
bestörtning	consternation
besudlad	stained
besutten	landed
besvikelse	disappointment
besviken	disappointed
besvär	appeal
besvära	bother
besvärjelse	incantation
besvärlig	hard
besynnerlig	peculiar
besätta	fill
besättningar	crews
besök	visit
besökande	visiting
besökare	caller
bet	bit
beta	graze
betablockerare	betablockers
betagen	charmed
betala	pay
betald	payed
betalning	payment
betalningsanstånd	payrespite
bete	tusk
beteckna	denote
betesmark	Pasture
beting	piecework
betinga	command
betingelse	condition
betjäna	serve
betjäning	service
betjäningsavgift	Dricks
betjänt	valet
betona	stress
betong	concrete
betongkloss	concrete-block
betoning	stress
betrakta	consider
betraktande	consideration
betraktelse	reflection
betrodd	trusted
betryckt	depressed
betryggande	safe
beträda	tread
beträffa	regard
beträffar	concerning
beträngd	hard-pressed
bets	stain
betsa	stain
betsel	bridle
bett	bite
bettleri	begging
betunga	burden
betungande	burdensome
betvinga	master
betvivla	doubt
betyda	imply
betydande	considerable
betydelsefull	significant
betydelselös	meaningless
betydligt	substantial
betyg	testimonial
betyga	express
betygelse	assurance
betygsgrad	grade
betygsätta	mark
betäcka	serve
betäckning	shelter
betänka	consider
betänkande	report
betänklig	worrying
betänklighet	hesitation
beundra	admire
beundran	admiration
bevaka	guard
bevakning	guarding
bevara	protect
bevarande	conservation
bevaring	panneler
bevars	indeed
bevattna	irrigate
beveka	move
bevekande	moving
bevekelsegrund	reason
bevilja	grant
beviljad	approved
bevingad	winged
bevis	testimony
bevisligen	demonstrably
bevittna	witness
bevuxen	overgrown
beväpna	arm
beväpnad	armed
beväpnar	armed
bh	bra
bi	by
bibehålla	retain
bibel	bible
bibelöversättning	bibeltranslation
bibliofil	bibliophile
bibliografi	bibliography
bibliotek	library
bibliotekarie	librarian
biblioteken	libraries
biblisk	biblical
bida	bide
bidra	contribute
bidrag	allowance
bidragande	contributing
bidragstagare	recipients
bidé	bidet
biennal	biennial
bifall	consent
biff	beef
bifoga	append
bifokal	bifocal
bigami	bigamy
bigott	bigoted
bigotthet	Biggotry
bihang	appendage
bihåla	sinus
bikini	bikini
bikt	confession
bikta	confess
bikupor	hives
bil	motorcar
bila	broad-axe
bilaga	insert
bilateral	bilateral
bilbälte	seatbelt
bild	image
bilda	establish
bildad	cultivated
bildlig	figurative
bildläsare	scanner
bildmaterial	pictures
bildning	culture
bildskärm	screen
bildspråk	imagery
bilförare	drivers
bilism	motoring
biljard	billiards
biljett	ticket
biljon	billion
bilkörning	driving
billig	cheap
billion	billion
bilnummer	carnumber
bilpark	carpark
bilparkeringen	car-park
bilparkeringsplats	car-parking
biltelefon	carphone
biltillverkare	car-makers
biltrafik	trafic
biltur	drive
biltvätt	carwash
bilvrak	carwreck
bilägare	carowner
bilägga	settle
bilåkare	passenger
binda	tie
bindande	binding
bindel	band
bindeord	conjunction
bindestreck	dash
bindning	bond
binge	bin
bingo	bingo
binär	binary
biobränsle	bio-fuel
biodiesel	biodiesel
biodynamisk	biodynamic
bioenergi	bioenergy
bioetanol	bioethanol
biofilm	movie
biofysik	Biophysics
bioföreställning	grad
biogas	biogas
biogenetiska	biogenetic
biografi	biography
biokemisk	biochemical
bioklimat	bioclimate
biokomponent	bio-component
biolog	biologist
biologi	biology
biologisk	biological
biologiskt	biologically
biomassa	biomass
biomedicin	Biomedicine
biomedicinsk	biomedical
biomedicinska	biomedical
biorytm	biorhythm
biosalongen	cinema
bioteknik	biotechnology
bioteknisk	bio-technical
bioteknologiska	biotechnological
biotop	biotope
biprodukt	by-product
bira	beer
bisamhälle	Beehive
bisarr	odd
bisexualitet	bisexuality
biskop	bishop
biskopsstol	bishopric
bister	harsh
bistro	bistro
bistå	help
bistånd	help
bit	bit
bita	bite
bitas	bite
biträda	support
biträdande	Assistant
biträde	assistant
bitsk	aggressive
bitter	acrimonious
bitterhet	bitterness
bitterljuv	bitter-sweet
bittida	early
bjuda	invite
bjudna	invited
bjälke	beam
bjällra	bell
bjöd	asked
björk	birch
björn	bear
björnbär	blackberry
björnfäll	bearskin
björntjänst	disservice
black	drag
blackout	blackout
blad	blade
bladdra	prattle
blanda	blend
blandad	mixed
blandning	blend
blank	glossy
blanka	blank
blankett	form
blankputsad	polished
blankt	flat
blask	slush
blaska	rag
blast	tops
blazer	(sports-)jacket
bleck	brass
bleckslagare	tinner
blek	wan
bleka	fade
blekansikte	paleface
blekare	paler
blekna	fade
blekning	bleach
blekningsmedel	whitener
blessyr	wound
blev	was
bli	become
blicka	glance
blickfång	eye-catcher
blidka	conciliate
blidväder	thaw
blind	blind
blindhet	blindness
blindskrift	braille
blindtarm	appendix
blinka	twinkle
blivande	becoming
bliver	get
blivit	became
blixt	flash
blixtlampa	flash
blixtra	lighten
blixtrande	flashing
block	pulley
blockad	blockade
blockera	block
blockerad	blocked
blockering	blocking
blockflöjt	recorder
blockhus	blockhouse
blod	blood
blodbad	massacre
blodfattig	bloodless
blodfläckad	blood-stained
blodhund	bloodhound
blodig	bloody
blodplasma	plasma
blodprov	blood-test
blodspillan	bloodshed
blodsprängd	bloodshot
blodsugare	bloodsucker
blodsutgjutelse	bloodshed
blodtörstig	bloodthirsty
blodutgjutelser	bloodletting
blodvite	bloodshed
blodöverföring	transfusion
blom	flower
blomblad	petal
blombukett	bouquet
blomkål	cauliflower
blomma	blossom
blommig	flowery
blomster	flower
blomsteraffär	florist
blomsterhandel	Florist
blomsterhandlare	florists
blomstra	flourish
blomstrande	flourishing
blomvas	vase
blond	fair-haired
blondin	blonde
bloss	puff
blossa	blaze
blot	sacrifice
blott	only
blotta	bare
blottare	flasher
blottlägga	bare
blues	blues
bluff	bluff
bluffa	bluff
blunder	blunder
blus	blouse
bly	lead
blyerts	graphite
blyfri	lead-free
blyg	timid
blygsam	modest
blygsamhet	modesty
blygsel	shame
blygt	shy
blylödningar	lead-solder
bläck	ink
bläckfisk	cuttle-fish
blända	blind
bländande	brilliant
bländverk	illusion
blänga	glower
blänka	glitter
blå	blue
blåa	Blue
blåbär	whortleberry
blådåre	madman
blåklint	cornflower
blåmärke	bruise
blåsa	blow
blåsig	breezy
blåsippa	hepatica
blåskatarr	cystitis
blåsning	swindle
blåst	wind
blåställ	dungarees
blåögd	starry-eyed
blöda	bleed
blödare	bleeder
blödarsjuka	haemophilia
blödig	weak
blöja	napkin
blöt	soggy
blöta	downpour
blötdjur	mollusc
bo	reside
boaorm	boa-constrictor
bobin	bobbin
boccia	Boccia
bock	tick
bocka	bend
bockfot	buckfoot
bockskägg	goatee
bodybuilding	body-building
boende	housing
boett	watch-case
bofast	domiciled
bofink	chaffinch
bog	bow
bogsera	tow
bogserare	tow
bohem	bohemian
boj	buoy
boja	shackle
bojkott	boycott
bojkotta	boycott
bojkottning	boycott
bok	book
boka	book
bokbindare	bookbinder
bokföring	bookkeeping
bokhylla	bookshelves
bokhyllan	bookshelf
bokmärke	bookmark
bokning	Booking
bokslut	closing
bokstav	letter
bokstavera	spell
bokstavlig	literal
bokstavligt	literally
bokstavstro	literalism
bokstavstroende	biblicist
bokstöd	bookend
bokverk	bookwork
boliner	sheet
boll	ball
bolma	puff
bolmört	henbane
bolsjevik	Bolshevik
bolsjevikisk	Bolshevik
bolsjevistiska	bolschevistic
bom	miss
bomb	bomb
bomba	bomb
bombardera	bombard
bombastisk	bombastic
bombflyg	bombplane
bombhärjad	bombed
bombning	bombing
bombsäker	certain
bomma	miss
bomull	cotton
bona	wax
bonad	hanging
bonde	pawn
bondfolk	peasants
bondfångare	conman
bondgård	farm
bondsk	rustic
boning	habitation
bonus	bonus
boom	boom
boots	boots
bord	table
borda	board
bordell	brothel
bordläggning	shelving
bordssilvret	silverware
bordsskiva	tabletop
boren	born
borg	castle
borgare	burgher
borgen	security
borgenär	creditor
borgerlig	civil
borgmästare	mayor
borr	gimlet
borra	bore
borrhål	drillhole
borrning	drilling
borrtorn	derrick
borst	bristle
borsta	brush
borste	brush
bort	away
borta	away
bortblåst	vanished
borterst	furthest
bortföra	abduct
bortförda	abducted
bortförklaring	excuse
bortförts	abducted
bortgång	decease
bortkastad	wasted
bortkommen	confused
bortom	beyond
bortoperera	remove
bortovaro	absence
bortrest	away
borträkna	disguard
bortröjning	clearance
bortskaffning	hinder
bortskrapning	removal
bortskämd	spoiled
bortsköljning	rinsing
bortslösade	misspent
borttagning	Removal
borttränga	repress
bortåt	towards
bosatt	residing
boskap	livestock
boskapsuppfödare	caddlebreeder
bosnien-hercegovina	bosnia-herzegovina
bosnisk	Bosnian
boss	boss
bossig	bossy
bostadslägenhet	apartment
bostadslös	homeless
bostadsrätt	tenant-ownership
bosättning	settlement
bosättningsort	residens
bot	penalty
bota	cure
botanik	botany
botemedel	cure
botfärdig	penitent
botten	bottom
bottennapp	fiasco
bottenskrap	scrapings
bottenskrapa	deplete
boulevard	boulevard
bovete	buckwheat
bowla	exel
bowling	bowling
box	box
boxare	boxer
boxas	box
boxning	boxing
bra	excellently
bracka	philistine
bragd	exploit
brak	crash
braka	crash
bralla	trousers
brand	fire
brandbekämpning	fire-fighting
brandfackla	torch
brandfarlig	flammable
brandman	firefighter
brandsoldat	firefighter
brandsäker	fireproof
brandvägg	firewall
brann	burned
branschspecifik	industry-specific
brant	verge
brasa	bonfire
brasiliansk	brazilian
brasilien	Brazil
braskande	ostentatious
brass	brass
brasserie	brasserie
brast	burst
braständare	firelighters
bravad	exploit
bravur	dash
bred	wide
breda	spread
bredare	broader
bredbar	easy-to-spread
bredd	breadth
bredda	widen
bredsida	broadside
brer	spread
brett	broad
brev	letter
brevbärare	postman
brevförsändelse	letter
brevledes	mailwise
brevsortering	sieve
brevväxla	correspond
bricka	washer
bridge	bridge
brigad	brigade
briljans	brilliance
briljant	diamond
brillor	specs
bringa	bring
brink	bank
brinna	burn
brinnande	burning
bris	breeze
brisera	burst
brist	scarcity
brista	snap
bristande	lacking
brits	bunk
britt	Briton
brittisk	British
brittiskflaggade	british-flagged
brittisktillverkad	british-made
bro	bridge
brobygge	bridgeconstruction
broccoli	broccoli
broder	brother
brodera	embroider
broderliga	brotherly
broderligt	brotherly
broderskap	brotherhood
broiler	broiler
brokig	motley
broms	gad-fly
bromskloss	obstructionist
bronkit	bronchitis
brons	bronze
bronsfärg	bronze-colored
bronsfärgad	measels
bror	brother
brorsa	brother
brorsbarn	nephews
brorson	nephew
brosch	brooch
broschyr	brochure
brosk	cartilage
brott	quarry
brottare	wrestler
brottas	wrestle
brottning	wrestling
brottsbekämpning	crime-fighting
brottsförebyggande	crime-preventive
brottslig	criminal
brottslighet	crime
brottsling	criminal
brottssäker	crime-proof
brottstycke	fragment
brud	bride
brudgum	bridegroom
brudtärna	bridesmaid
bruk	custom
bruka	cultivate
brukbar	useful
bruklig	useful
bruksanvisning	manual
brumma	buzz
brun	brown
brunbränd	tanned
brunch	brunch
brunett	brunette
brunn	well
brunnit	burned
brunst	rut
brunögd	brown-eyed
brus	noise
brusa	rush
brusten	broken
brustit	burst
brutal	brutal
brutalisera	brutalize
brutalitet	brutality
bruten	broken
brutit	broken
brutto	gross
bry	care
bryderi	perplexity
brygd	brew
brygga	make
bryggare	percolator
bryggeri	brewery
bryggeriföretag	brocase
bryggmalen	fine-grind
bryggmästare	brewmaster
bryn	edge
bryna	brown
bryne	whetstone
bryr	care
bryta	break
brytning	accent
brytpunkt	breakpoint
bräcka	break
bräcklig	brittle
bräckt	brackish
bräda	board
brädd	brim
bräde	board
brädsegla	windsurf
bräka	bleat
bräm	trimming
bränd	burned
bränna	distil
brännande	burning
brännas	burn
brännbar	inflammable
brännboll	rounders
brännhet	scorching
bränning	burning
brännmanet	jellyfish
brännmärka	condemn
brännsår	burns
brännugn	furnace
brännvin	snaps
bränsle	fuel
bränslebaserad	fuel-based
bränsleeffektiv	fuel-efficient
bräsch	breach
bräsera	poche
brätte	brim
bråck	hernia
bråd	busy
bråddjup	abyss
brådmogen	precocious
brådska	hurry
brådskande	urgent
bråk	fraction
bråkdel	fraction
bråkig	disorderly
bråkmakare	troublemaker
bröd	bread
brödrafolk	brethren
brödraskap	brotherhood
brödrost	toaster
bröl	noice
bröllop	marriage
bröst	chest
bröstimplantat	breast-implant
bröstkorg	thorax
bröstmjölk	breastmilk
bröstsim	breaststroke
bröstvårtorna	nipples
bröt	broke
bua	boo
bubbelpool	jacuzzi
bubbla	bubble
buckla	buckle
bucklig	dented
bud	message
budbäraren	messenger
buddhistisk	buddhistic
buddism	Buddhism
buddister	buddhists
budget	budget
budgetaspekt	expensises
budgetera	budgeting
budgetering	Budgeting
budgetnedskärningar	budget-cutting
budgetneutral	budget-neutral
budgivning	bidding
budkavle	relay
budo	budo
budskap	message
buffel	buffalo
buffert	bumper
buffé	buffet
buklanda	belly-land
bukspottkörtel	pancreas
bukt	bay
bukta	bend
buktaleri	Ventriloquism
buktig	winding
bula	swelling
bulgar	Bulgarian
bulgarien	bulgaria
bulgarisk	Bulgarian
buljong	broth
bulla	bull
bulldogg	bulldog
bulldozers	bulldozer
bulle	cake
buller	noise
bullersam	noisy
bulletin	bulletin
bullrig	loud
bulnad	swelling
bult	bolt
bulta	beat
bulvan	front
bumerang	boomerang
bumling	boulder
bunden	bound
bundna	bound
bundsförvant	ally
bungalow	bungalow
bunke	bowl
bunker	bunker
bunkra	bunker
bunt	bunch
bur	cage
burdus	brusque
burgen	affluent
burit	carried
burk	tin
burlesk	burlesque
burrig	fluffy
burspråk	bay
burundiska	burundian
bus	mischief
bush	bush
busig	mischievous
business	business
buskablyg	shy
buskage	thicket
buske	bush
buskighet	bushy
buskis	slapstick
buss	coach
bussa	bus
bussig	decent
butelj	bottle
butiksstöld	shoplifting
butiksägare	shopkeeper
butter	morose
butterhet	grumpiness
by	gust
bybor	villagers
byffé	buffet
bygd	countryside
bygel	hoop
bygga	construct
byggare	builder
bygge	building
byggklossar	building-blocks
byggmästare	builder
byggnad	building
byggnadsarbete	Constructionwork
byig	gusty
byk	laundry
byling	cop
bylte	pack
byracka	mongrel
byrå	office
byråkrati	bureaucracy
byråkratisera	bureaucratization
byråkratisering	bureaucratisation
byråkratiseringen	bureaucratization
byråkratisk	bureaucratic
byråkratiskt	bureaucratic
byrålåda	drawer
bysantinerna	Byzantines
bysantinska	byzantine
byst	bust
byta	exchange
byte	byte
byteshandel	trade
byxor	trousers
bäbis	baby
bäck	brook
bäcken	basin
bäckenben	requset
bädd	bed
bägare	goblet
bägge	both
bälg	bellows
bälte	zone
bälten	belts
bända	prize
bänk	bench
bär	berry
bärare	porter
bärbar	transportable
bärga	gather
bärgad	salvaged
bärgning	towing
bäring	bearing
bärkraft	strength
bärnsten	amber
bärs	beer
bärsa	beer
bärsärkagång	berserk
bäst	best
bästsäljare	best-seller
bättra	improve
bättre	better
bättring	improvement
bäva	shudder
bävan	dread
bävar	quail
bäver	beaver
båda	both
bådadera	both
både	both
båg	humbug
båge	(motor-)bike
bågfil	hacksaw
bågformig	curved
